date, power
09.08.2021 09:45:30.675,341.56
09.08.2021 09:45:31.666,341.56
09.08.2021 09:45:32.685,303.36
09.08.2021 09:45:33.672,218.59
09.08.2021 09:45:34.665,176.45
09.08.2021 09:45:35.685,176.45
09.08.2021 09:45:36.673,176.45
09.08.2021 09:45:37.665,14.23
09.08.2021 09:45:38.685,149.53
09.08.2021 09:45:39.675,235.71
09.08.2021 09:45:40.666,280.48
09.08.2021 09:45:41.685,338.51
09.08.2021 09:45:42.676,347.65
09.08.2021 09:45:43.665,386.14
09.08.2021 09:45:44.685,386.14
09.08.2021 09:45:45.676,351.54
09.08.2021 09:45:46.662,388.01
09.08.2021 09:45:47.682,388.01
09.08.2021 09:45:48.672,348.90
09.08.2021 09:45:49.666,348.90
09.08.2021 09:45:50.685,348.90
09.08.2021 09:45:51.676,228.77
09.08.2021 09:45:52.696,228.77
09.08.2021 09:45:53.685,228.77
09.08.2021 09:45:54.675,11.01
09.08.2021 09:45:55.666,177.61
09.08.2021 09:45:56.686,177.61
09.08.2021 09:45:57.676,526.81
09.08.2021 09:45:58.664,542.62
09.08.2021 09:45:59.685,542.62
09.08.2021 09:46:00.676,542.62
09.08.2021 09:46:01.664,10.29
09.08.2021 09:46:02.685,233.87
09.08.2021 09:46:03.675,233.87
09.08.2021 09:46:04.666,188.73
09.08.2021 09:46:05.686,141.09
09.08.2021 09:46:06.676,92.21
09.08.2021 09:46:07.666,3.56
09.08.2021 09:46:08.686,3.20
09.08.2021 09:46:09.676,2.85
09.08.2021 09:46:10.665,5.69
09.08.2021 09:46:11.687,116.69
09.08.2021 09:46:12.676,192.41
09.08.2021 09:46:13.666,192.41
09.08.2021 09:46:14.686,192.41
09.08.2021 09:46:15.673,451.75
09.08.2021 09:46:16.665,451.75
09.08.2021 09:46:17.686,451.75
09.08.2021 09:46:18.677,228.31
09.08.2021 09:46:19.666,203.58
09.08.2021 09:46:20.686,23.79
09.08.2021 09:46:21.678,87.49
09.08.2021 09:46:22.667,126.16
09.08.2021 09:46:23.687,179.02
